user,kategoria,instancja,odpowiedz
7,boho,2,Raczej nie chciał(a)bym tak mieszkać
7,boho,3,Raczej nie chciał(a)bym tak mieszkać
7,boho,4,Raczej nie chciał(a)bym tak mieszkać
7,boho,5,Zdecydowanie bym tego nie zrobił/a
7,industrialny,1,Nie mam zdania / Jest mi to obojętne
7,industrialny,2,Raczej nie chciał(a)bym tak mieszkać
7,industrialny,3,Raczej nie chciał(a)bym tak mieszkać
7,industrialny,4,Zdecydowanie bym tego nie zrobił/a
7,industrialny,5,Raczej nie chciał(a)bym tak mieszkać
7,skandynawski,2,Zdecydowanie bym tego nie zrobił/a
7,skandynawski,3,Nie mam zdania / Jest mi to obojętne
7,skandynawski,4,Raczej nie chciał(a)bym tak mieszkać
7,skandynawski,5,Chętnie bym tak umeblował/a mieszkanie
